Profile Name;Start Time;Duration;Attributes;Title;Supplemental Video Type;Device Type;Bookmark;Latest Bookmark;Country
Charlie;11/3/2013 23:14;00:21:26;;The Office (U.S.): Season 2: Christmas Party (Episode 10);;Mac;00:21:26;Not latest view;US (United States)
Charlie;11/3/2013 22:42;00:21:45;;The Office (U.S.): Season 2: Email Surveillance (Episode 9);;Mac;00:21:47;Not latest view;US (United States)
Charlie;11/3/2013 21:23;00:21:02;;The Office (U.S.): Season 2: Performance Review (Episode 8);;Mac;00:21:04;Not latest view;US (United States)
Charlie;11/3/2013 18:44;00:00:15;;The Office (U.S.): Season 2: Performance Review (Episode 8);;Mac;00:00:14;Not latest view;US (United States)
Charlie;11/3/2013 18:36;00:07:28;;The Office (U.S.): Season 2: The Client (Episode 7);;Mac;00:21:20;Not latest view;US (United States)
Charlie;11/3/2013 17:12;00:13:55;;The Office (U.S.): Season 2: The Client (Episode 7);;Mac;00:13:55;Not latest view;US (United States)
Charlie;11/3/2013 16:19;00:15:37;;The Office (U.S.): Season 2: The Fight (Episode 6);;Mac;00:21:34;Not latest view;US (United States)
Charlie;11/3/2013 06:30;00:05:57;;The Office (U.S.): Season 2: The Fight (Episode 6);;Mac;00:05:57;Not latest view;US (United States)
Charlie;11/3/2013 06:09;00:21:31;;The Office (U.S.): Season 2: Halloween (Episode 5);;Mac;00:21:32;Not latest view;US (United States)
Charlie;11/3/2013 05:50;00:18:16;;The Office (U.S.): Season 2: The Fire (Episode 4);;Mac;00:20:57;Not latest view;US (United States)
Charlie;11/3/2013 02:30;00:02:43;;The Office (U.S.): Season 2: The Fire (Episode 4);;Mac;00:02:43;Not latest view;US (United States)
Charlie;11/3/2013 01:08;00:21:08;;The Office (U.S.): Season 2: Office Olympics (Episode 3);;Mac;00:21:11;Not latest view;US (United States)
Charlie;11/3/2013 00:46;00:21:16;;The Office (U.S.): Season 2: Sexual Harassment (Episode 2);;Mac;00:21:17;Not latest view;US (United States)
Charlie;11/3/2013 00:26;00:20:35;;The Office (U.S.): Season 2: The Dundies (Episode 1);;Mac;00:20:36;Not latest view;US (United States)
Charlie;11/3/2013 00:04;00:21:56;;The Office (U.S.): Season 1: Hot Girl (Episode 6);;Mac;00:21:57;Not latest view;US (United States)
Charlie;10/3/2013 23:44;00:18:20;;The Office (U.S.): Season 1: Basketball (Episode 5);;Mac;00:21:36;Not latest view;US (United States)
Charlie;10/3/2013 22:30;00:03:20;;The Office (U.S.): Season 1: Basketball (Episode 5);;Mac;00:03:20;Not latest view;US (United States)
Charlie;10/3/2013 22:08;00:21:44;;The Office (U.S.): Season 1: The Alliance (Episode 4);;Mac;00:21:44;Not latest view;US (United States)
Charlie;10/3/2013 21:46;00:21:32;;The Office (U.S.): Season 1: Health Care (Episode 3);;Mac;00:21:33;Not latest view;US (United States)
Charlie;10/3/2013 21:25;00:21:33;;The Office (U.S.): Season 1: Diversity Day (Episode 2);;Mac;00:21:32;Not latest view;US (United States)
Charlie;10/3/2013 21:02;00:22:48;;The Office (U.S.): Season 1: Pilot (Episode 1);;Mac;00:22:48;Not latest view;US (United States)
Charlie;10/3/2013 20:42;00:18:47;;The Office (U.S.): Season 7: Search Committee: Part 2 (Episode 26);;Mac;00:18:48;Not latest view;US (United States)
Charlie;10/3/2013 20:14;00:23:52;;The Office (U.S.): Season 7: Search Committee: Part 1 (Episode 25);;Mac;00:23:51;Not latest view;US (United States)
Charlie;10/3/2013 19:53;00:15:56;;The Office (U.S.): Season 7: Dwight K. Schrute, (Acting) Manager (Episode 24);;Mac;00:21:33;Not latest view;US (United States)
Charlie;10/3/2013 03:11;00:05:39;;The Office (U.S.): Season 7: Dwight K. Schrute, (Acting) Manager (Episode 24);;Mac;00:05:40;Not latest view;US (United States)
Charlie;10/3/2013 02:49;00:21:43;;The Office (U.S.): Season 7: The Inner Circle (Episode 23);;Mac;00:21:45;Not latest view;US (United States)
Charlie;10/3/2013 02:13;00:35:37;;The Office (U.S.): Season 7: Goodbye, Michael (Episode 22);;Mac;00:35:40;Not latest view;US (United States)
Charlie;10/3/2013 01:52;00:21:32;;The Office (U.S.): Season 7: Michael's Last Dundies (Episode 21);;Mac;00:21:32;Not latest view;US (United States)
Charlie;10/3/2013 01:25;00:21:29;;The Office (U.S.): Season 7: Training Day (Episode 20);;Mac;00:21:31;Not latest view;US (United States)
Charlie;10/3/2013 01:03;00:21:33;;The Office (U.S.): Season 7: Garage Sale (Episode 19);;Mac;00:21:33;Not latest view;US (United States)
Charlie;9/3/2013 23:25;00:21:34;;The Office (U.S.): Season 7: Threat Level Midnight (Episode 17);;Mac;00:21:34;Not latest view;US (United States)
Charlie;9/3/2013 23:03;00:21:45;;The Office (U.S.): Season 7: PDA (Episode 16);;Mac;00:21:44;Not latest view;US (United States)
Charlie;9/3/2013 22:38;00:21:31;;The Office (U.S.): Season 7: The Search (Episode 15);;Mac;00:21:31;Not latest view;US (United States)
Charlie;9/3/2013 21:41;00:21:46;;The Office (U.S.): Season 7: The Seminar (Episode 14);;Mac;00:21:46;Not latest view;US (United States)
Charlie;9/3/2013 21:19;00:21:45;;The Office (U.S.): Season 7: Ultimatum (Episode 13);;Mac;00:21:45;Not latest view;US (United States)
Charlie;9/3/2013 21:01;00:18:23;;The Office (U.S.): Season 7: Classy Christmas: Part 2 (Episode 12);;Mac;00:18:24;Not latest view;US (United States)
Charlie;9/3/2013 20:48;00:12:51;;The Office (U.S.): Season 7: Classy Christmas: Part 1 (Episode 11);;Mac;00:24:47;Not latest view;US (United States)
Charlie;9/3/2013 17:34;00:11:59;;The Office (U.S.): Season 7: Classy Christmas: Part 1 (Episode 11);;Mac;00:11:57;Not latest view;US (United States)
Charlie;9/3/2013 17:21;00:12:27;;The Office (U.S.): Season 7: China (Episode 10);;Mac;00:21:47;Not latest view;US (United States)
Charlie;9/3/2013 08:25;00:09:24;;The Office (U.S.): Season 7: China (Episode 10);;Mac;00:09:24;Not latest view;US (United States)
Charlie;9/3/2013 08:04;00:21:33;;The Office (U.S.): Season 7: WUPHF.com (Episode 9);;Mac;00:21:32;Not latest view;US (United States)
Charlie;9/3/2013 07:20;00:21:31;;The Office (U.S.): Season 7: Viewing Party (Episode 8);;Mac;00:21:31;Not latest view;US (United States)
Charlie;9/3/2013 07:17;00:02:40;;The Office (U.S.): Season 7: Christening (Episode 7);;Mac;00:02:41;Not latest view;US (United States)
Charlie;9/3/2013 06:44;00:21:45;;The Office (U.S.): Season 7: Costume Contest (Episode 6);;Mac;00:21:45;Not latest view;US (United States)
Charlie;9/3/2013 06:27;00:10:54;;The Office (U.S.): Season 7: The Sting (Episode 5);;Mac;00:21:35;Not latest view;US (United States)
Charlie;9/3/2013 02:58;00:10:44;;The Office (U.S.): Season 7: The Sting (Episode 5);;Mac;00:10:43;Not latest view;US (United States)
Charlie;9/3/2013 02:36;00:21:43;;The Office (U.S.): Season 7: Sex Ed (Episode 4);;Mac;00:21:45;Not latest view;US (United States)
Charlie;9/3/2013 02:35;00:00:55;;The Office (U.S.): Season 7: Andy's Play (Episode 3);;Mac;00:21:40;Not latest view;US (United States)
Charlie;9/3/2013 00:52;00:20:44;;The Office (U.S.): Season 7: Andy's Play (Episode 3);;Mac;00:20:46;Not latest view;US (United States)
Charlie;9/3/2013 00:29;00:21:48;;The Office (U.S.): Season 7: Counseling (Episode 2);;Mac;00:21:48;Not latest view;US (United States)
Charlie;8/3/2013 23:45;00:21:48;;The Office (U.S.): Season 7: Nepotism (Episode 1);;Mac;00:21:47;Not latest view;US (United States)
Charlie;8/3/2013 23:23;00:21:12;;The Office (U.S.): Season 5: The Duel (Episode 12);;Mac;00:21:13;Not latest view;US (United States)
Charlie;8/3/2013 04:32;00:19:55;;Archer: Season 2: The Double Deuce (Episode 5);;Microsoft Xbox 360;00:19:53;Not latest view;US (United States)
Charlie;8/3/2013 04:31;00:00:16;;30 for 30: The Two Escobars;;Microsoft Xbox 360;00:23:39;Not latest view;US (United States)
Charlie;7/3/2013 06:11;00:12:58;;Star Trek: Deep Space Nine: Season 5: Ferengi Love Songs (Episode 20);;Mac;00:12:59;Not latest view;US (United States)
Charlie;7/3/2013 05:26;00:44:50;;Star Trek: Deep Space Nine: Season 5: Ties of Blood and Water (Episode 19);;Mac;00:44:50;0:44:50;US (United States)
Charlie;7/3/2013 04:55;00:31:11;;Star Trek: Deep Space Nine: Season 5: Business as Usual (Episode 18);;Mac;00:44:31;0:44:31;US (United States)
Charlie;7/3/2013 01:43;00:13:24;;Star Trek: Deep Space Nine: Season 5: Business as Usual (Episode 18);;Mac;00:13:24;Not latest view;US (United States)
Charlie;7/3/2013 00:59;00:44:26;;Star Trek: Deep Space Nine: Season 5: A Simple Investigation (Episode 17);;Mac;00:44:27;0:44:27;US (United States)
Charlie;7/3/2013 00:00;00:44:45;;Star Trek: Deep Space Nine: Season 5: Doctor Bashir, I Presume? (Episode 16);;Mac;00:44:46;0:44:46;US (United States)
Charlie;6/3/2013 23:01;00:50:01;;Buffy the Vampire Slayer: Season 6: Once More, with Feeling (Episode 7);;Mac;00:50:06;Not latest view;US (United States)
Charlie;6/3/2013 19:34;00:42:51;;Star Trek: Deep Space Nine: Season 5: By Inferno's Light (Episode 15);;Mac;00:44:39;0:44:39;US (United States)
Charlie;6/3/2013 19:34;00:00:24;;Star Trek: Deep Space Nine: Season 1: Emissary: Parts 1 & 2 (Episode 1);;Mac;00:00:23;Not latest view;US (United States)
Charlie;6/3/2013 19:33;00:00:11;;Star Trek: Deep Space Nine: Season 1: Emissary: Parts 1 & 2 (Episode 1);;Mac;00:00:11;Not latest view;US (United States)
Charlie;6/3/2013 07:12;00:00:10;;Star Trek: Deep Space Nine: Season 5: By Inferno's Light (Episode 15);;Mac;00:00:09;Not latest view;US (United States)
Charlie;6/3/2013 06:24;00:44:11;;Star Trek: Deep Space Nine: Season 5: In Purgatory's Shadow (Episode 14);;Mac;00:44:13;0:44:13;US (United States)
Charlie;6/3/2013 05:38;00:44:34;;Star Trek: Deep Space Nine: Season 5: For the Uniform (Episode 13);;Mac;00:44:36;0:44:36;US (United States)
Charlie;6/3/2013 04:53;00:44:44;;Star Trek: Deep Space Nine: Season 5: The Begotten (Episode 12);;Mac;00:44:45;0:44:45;US (United States)
Charlie;5/3/2013 23:02;00:23:29;;30 for 30: The Two Escobars;;Mac;00:23:29;Not latest view;US (United States)
Charlie;5/3/2013 06:45;00:29:22;;Star Trek: Deep Space Nine: Season 5: The Darkness and the Light (Episode 11);;Mac;00:44:31;0:44:31;US (United States)
Charlie;5/3/2013 04:41;00:15:10;;Star Trek: Deep Space Nine: Season 5: The Darkness and the Light (Episode 11);;Mac;00:15:11;Not latest view;US (United States)
Charlie;5/3/2013 03:55;00:44:49;;Star Trek: Deep Space Nine: Season 5: Rapture (Episode 10);;Mac;00:44:50;0:44:50;US (United States)
Charlie;5/3/2013 03:10;00:43:29;;Star Trek: Deep Space Nine: Season 5: The Ascent (Episode 9);;Mac;00:44:45;0:44:45;US (United States)
Charlie;5/3/2013 02:43;00:21:03;;Archer: Season 2: Pipeline Fever (Episode 4);;Microsoft Xbox 360;00:21:01;Not latest view;US (United States)
Charlie;5/3/2013 02:31;00:11:45;;Archer: Season 2: Blood Test (Episode 3);;Microsoft Xbox 360;00:20:57;Not latest view;US (United States)
Charlie;4/3/2013 06:55;00:01:19;;Star Trek: Deep Space Nine: Season 5: The Ascent (Episode 9);;Mac;00:01:18;Not latest view;US (United States)
